run_id,chunked_scan_sec,naive_scan_sec,speedup_core,walltime_sec,tokens_per_sec,core_tokens_per_sec,vmhwm_bytes,load_weights_sec,init_state_sec,write_output_sec,wy_coeff_time_ms,wy_update_time_ms,sync_time_ms
M8-20260918-001,0.004,0.012,2.5,0.005,178140.987,412609.657,12292096,0.0,0.0,0.0,3.751,0.489,0.0
M8-20260918-002,0.009,0.023,2.5,0.011,93059.311,221330.894,11837440,0.0,0.0,0.0,6.884,1.209,0.0
M8-20260918-003,0.009,0.024,2.5,0.01,93598.211,212669.472,12070912,0.0,0.0,0.0,7.138,1.249,0.0
M8-20260918-004,0.005,0.013,2.5,0.006,166974.498,388161.233,12304384,0.0,0.0,0.0,3.626,0.664,0.0
M8-20260918-005,0.005,0.013,2.5,0.006,165380.686,381571.369,11853824,0.0,0.0,0.0,3.879,0.697,0.0
M8-20260918-006,0.004,0.011,2.5,0.005,180625.387,430125.412,12365824,0.0,0.0,0.0,3.474,0.514,0.0
M8-20260918-007,0.004,0.011,2.5,0.005,185945.126,430498.371,12423168,0.0,0.0,0.0,3.412,0.537,0.0
M8-20260918-008,0.004,0.011,2.5,0.005,191619.24,435369.614,12345344,0.0,0.0,0.0,3.601,0.501,0.0
M8-20260918-009,0.008,0.022,2.5,0.009,104384.803,229874.529,11919360,0.0,0.0,0.0,6.635,1.012,0.0
M8-20260918-010,0.005,0.013,2.5,0.006,162442.5,369286.339,12361728,0.0,0.0,0.0,4.319,0.518,0.0
