phase,run_id,seq_len,recompute_tokens,walltime_sec,tokens_per_sec,vmhwm_bytes,kv_payload_bytes,gdn_state_bytes,gdn_time_ms,gated_attn_time_ms,moe_time_ms,moe_percent
prefill,M9-20260918-001,128,128,0.019,6713.388,15478784,16384,12288,2.515,9.481,6.474,35.052
prefill,M9-20260918-002,128,128,0.022,5750.102,15597568,16384,12288,2.897,11.402,7.296,33.784
prefill,M9-20260918-003,128,128,0.017,7424.573,15441920,16384,12288,2.452,8.731,5.421,32.647
prefill,M9-20260918-004,128,128,0.03,4134.249,15560704,16384,12288,3.204,17.405,9.515,31.585
prefill,M9-20260918-005,128,128,0.031,4116.154,15568896,16384,12288,3.372,17.113,9.858,32.489
decode,M9-20260918-006,1,0,0.0,2255.528,15159296,16512,12288,0.047,0.266,0.095,23.244
decode,M9-20260918-007,1,0,0.0,3196.154,15044608,16640,12288,0.048,0.152,0.084,29.531
decode,M9-20260918-008,1,0,0.0,2199.053,14843904,16768,12288,0.047,0.281,0.09,21.696
decode,M9-20260918-009,1,0,0.0,3255.356,15159296,16896,12288,0.033,0.168,0.078,28.007
decode,M9-20260918-010,1,0,0.0,3460.087,15081472,17024,12288,0.035,0.144,0.076,29.765
decode,M9-20260918-011,1,0,0.0,3574.952,15204352,17152,12288,0.032,0.155,0.066,26.168
decode,M9-20260918-012,1,0,0.0,1938.048,15151104,17280,12288,0.058,0.291,0.123,26.17
decode,M9-20260918-013,1,0,0.0,1416.418,15122432,17408,12288,0.265,0.269,0.131,19.726
decode,M9-20260918-014,1,0,0.0,3698.498,15122432,17536,12288,0.03,0.144,0.068,28.083
decode,M9-20260918-015,1,0,0.0,3756.348,14987264,17664,12288,0.029,0.145,0.065,27.157
decode,M9-20260918-016,1,0,0.0,2333.477,15147008,17792,12288,0.046,0.254,0.091,23.259
decode,M9-20260918-017,1,0,0.0,1917.88,15183872,17920,12288,0.046,0.261,0.148,32.47
decode,M9-20260918-018,1,0,0.0,3904.267,15052800,18048,12288,0.028,0.136,0.064,28.017
decode,M9-20260918-019,1,0,0.0,2797.226,15228928,18176,12288,0.076,0.157,0.086,27.13
decode,M9-20260918-020,1,0,0.0,2360.884,14974976,18304,12288,0.043,0.266,0.081,20.759
decode,M9-20260918-021,1,0,0.0,3637.858,15073280,18432,12288,0.028,0.143,0.079,31.514
decode,M9-20260918-022,1,0,0.0,2292.137,15024128,18560,12288,0.044,0.267,0.085,21.487
decode,M9-20260918-023,1,0,0.0,3483.179,15048704,18688,12288,0.028,0.16,0.072,27.763
decode,M9-20260918-024,1,0,0.0,2261.026,15114240,18816,12288,0.045,0.273,0.09,22.087
decode,M9-20260918-025,1,0,0.0,2294.92,15060992,18944,12288,0.045,0.268,0.084,21.116
decode,M9-20260918-026,1,0,0.0,3190.963,14983168,19072,12288,0.03,0.185,0.074,25.663
decode,M9-20260918-027,1,0,0.0,2072.676,15196160,19200,12288,0.043,0.301,0.095,21.733
decode,M9-20260918-028,1,0,0.0,2246.393,15081472,19328,12288,0.044,0.274,0.088,21.63
decode,M9-20260918-029,1,0,0.0,2761.218,15060992,19456,12288,0.046,0.154,0.137,40.536
decode,M9-20260918-030,1,0,0.0,2247.872,15106048,19584,12288,0.044,0.286,0.082,20.017
decode,M9-20260918-031,1,0,0.0,2120.67,15122432,19712,12288,0.05,0.29,0.09,20.942
decode,M9-20260918-032,1,0,0.0,2100.747,15171584,19840,12288,0.048,0.291,0.101,22.935
decode,M9-20260918-033,1,0,0.0,2068.872,15056896,19968,12288,0.043,0.32,0.084,18.866
decode,M9-20260918-034,1,0,0.0,3511.852,15056896,20096,12288,0.033,0.15,0.077,29.508
decode,M9-20260918-035,1,0,0.0,2095.623,14802944,20224,12288,0.048,0.296,0.097,22.005
